performer,type,time
Chris Liu,Vocal,3:45 pm
Riki Khorana,Instrumental and Vocal,4:00 pm
CMU Street Styles,Dance,4:40 pm
KPDC,Dance,5:00 pm
Scott Mionis,Instrumental and Vocal,5:20 pm
Pittsburgh Taiko,Instrumental,6:00 pm
ARCC Dance Group,Dance,6:40 pm

