name,website,logo
Cosplay@CMU,https://thebridge.cmu.edu/organization/cosplay,cosplay.png
Origami Club,https://thebridge.cmu.edu/organization/origami-club,origami.png
Vermillion Anime Club,https://thebridge.cmu.edu/organization/vermillion,vermillion.jpg
