title,startDate,endDate,location,contentPath
Summer Break,2017-05-16,2017-08-28,Carnegie Mellon University,2017-05-16-summer-break.md
Matsuri,2018-04-10,2018-04-10,Carnegie Mellon University,2018-04-10-matsuri.md
